KE_Id,Total recurrent grant 
1,"3,117"
2,"5,642,253"
3,"133,325"
4,"7,639,115"
5,"7,925,817"
6,"19,632,592"
7,"1,084,610"
8,"3,043,953"
9,"10,105,390"
10,"46,180,196"
11,0
12,"3,544,827"
13,"91,385"
14,"485,901"
15,"3,838,312"
16,"4,475,679"
17,"6,311,182"
18,"52,660,407"
19,"12,696,301"
20,"509,287"
21,"131,110,796"
22,"2,916,917"
23,"6,697,132"
24,"2,577,130"
25,"1,174,812"
26,"12,521,011"
27,"498,489"
28,"1,551,621"
29,"6,190,031"
30,"14,858,679"
31,"411,325"
32,"244,574"
33,"4,657,451"
34,"2,233,056"
35,"28,050,677"
36,"19,847,424"
37,"3,191,087"
38,"1,673,562"
39,"12,284,602"
40,"29,948,067"
41,"684,610"
42,"1,301,787"
43,"6,634,293"
44,"6,025,485"
45,"993,421"
46,"962,584"
47,"298,248"
48,"7,705,940"
49,"6,854,034"
50,"8,866,582"
51,"98,939,804"
52,"19,311,797"
53,"8,495,509"
54,"16,347,916"
55,"76,364,601"
56,"3,800,058"
57,"1,550,797"
58,"24,477,863"
59,"49,133,990"
60,0
61,"5,586,311"
62,0
63,"126,130"
64,"23,542,711"
65,"5,086,623"
66,"34,697,119"
67,"1,439,997"
68,0
69,"7,047,055"
70,"10,628,602"
71,"151,000,025"
72,"8,588"
73,"7,853,910"
74,"2,023,144"
75,"23,021,479"
76,"21,644,704"
77,"2,664,942"
78,"22,583,379"
79,"75,054,758"
80,"7,759,509"
81,"6,545,893"
82,"277,308"
83,"38,956,484"
84,"195,662"
85,"1,451,746"
86,"7,505,506"
87,"133,358"
88,"6,918,392"
89,"54,341,238"
90,"9,891,868"
91,"6,209,330"
92,0
93,"150,540,772"
94,"6,515,524"
95,"10,302,495"
96,0
97,"8,141,896"
98,"37,424,091"
99,0
100,"20,888,061"
101,"4,168,341"
102,"65,521"
103,"798,588"
104,"350,369"
105,"304,280"
106,"665,281"
107,"2,734,377"
108,"733,983"
109,"13,711,929"
110,"728,783"
111,"6,628,740"
112,"5,595,966"
113,"47,195,728"
114,"6,030,886"
115,"1,730,048"
116,"51,577,813"
117,"2,379"
118,"1,014,616"
119,"3,300,450"
120,"1,958,199"
121,"4,874"
122,"2,121,542"
123,"19,944,473"
124,"18,545,544"
125,"2,700,059"
126,"713,848"
127,"41,416,706"
128,"844,010"
129,"7,596,326"
130,"5,349,829"
131,"1,093,096"
132,"3,288,045"
133,"1,456,945"
134,"41,182"
135,"28,494,498"
136,"624,490"
