Institution,Mainstream QR funds,London weighting on mainstream QR ,Mainstream QR funds including London weighting,QR charity support fund,QR business research element,RDP supervision funds,QR funding for National Research Libraries,Total research       funding
AECC University College,0,0,0,644,"2,473",0,0,"3,117"
Anglia Ruskin University Higher Education Corporation,"1,622,895",0,"1,622,895","134,833","68,770","660,805",0,"2,487,303"
"Arts University Bournemouth, the","118,197",0,"118,197",0,684,"14,444",0,"133,325"
"University of the Arts, London","2,680,969","321,716","3,002,685","26,267","2,825","517,246",0,"3,549,023"
Aston University,"4,979,758",0,"4,979,758","178,432","184,665","959,640",0,"6,302,495"
The University of Bath,"13,243,620",0,"13,243,620","433,537","443,810","3,878,514",0,"17,999,481"
Bath Spa University,"857,237",0,"857,237","63,186","1,427","162,760",0,"1,084,610"
University of Bedfordshire,"2,069,080",0,"2,069,080","47,980","37,908","201,654",0,"2,356,622"
Birkbeck College,"6,727,502","807,300","7,534,802","768,008","12,963","1,789,617",0,"10,105,390"
The University of Birmingham,"26,983,662",0,"26,983,662","4,129,149","1,623,337","8,659,048",0,"41,395,196"
University College Birmingham,0,0,0,0,0,0,0,0
Birmingham City University,"1,704,383",0,"1,704,383","19,286","41,833","692,486",0,"2,457,988"
Bishop Grosseteste University,"57,818",0,"57,818",0,"1,843","31,724",0,"91,385"
The University of Bolton,"397,017",0,"397,017","2,964","15,698","70,222",0,"485,901"
Bournemouth University,"2,471,780",0,"2,471,780","22,250","53,666","695,062",0,"3,242,758"
The University of Bradford,"2,823,257",0,"2,823,257","224,737","189,512","539,562",0,"3,777,068"
University of Brighton,"4,000,024",0,"4,000,024","192,908","86,936","713,606",0,"4,993,474"
University of Bristol,"34,306,380",0,"34,306,380","4,339,582","1,607,520","7,621,925",0,"47,875,407"
Brunel University London,"9,206,622","736,526","9,943,148","192,057","246,151","1,058,398",0,"11,439,754"
Buckinghamshire New University,"205,558",0,"205,558",0,"1,754","19,885",0,"227,197"
University of Cambridge,"74,346,811",0,"74,346,811","28,543,743","5,090,475","16,185,034","2,159,733","126,325,796"
Canterbury Christ Church University,"1,216,228",0,"1,216,228","95,702","5,976","987,095",0,"2,305,001"
University of Central Lancashire,"2,872,634",0,"2,872,634","109,018","61,426","842,027",0,"3,885,105"
University of Chester,"960,579",0,"960,579","32,430","135,281","378,942",0,"1,507,232"
The University of Chichester,"641,375",0,"641,375","3,522","120,058","111,467",0,"876,422"
"City, University of London","7,905,321","948,639","8,853,960","247,664","141,524","1,245,544",0,"10,488,692"
The Conservatoire for Dance and Drama,0,0,0,0,0,0,0,0
Courtauld Institute of Art,"1,180,656","141,678","1,322,334","19,965",0,"209,322",0,"1,551,621"
Coventry University,"2,458,307",0,"2,458,307","176,972","54,826","816,724",0,"3,506,829"
Cranfield University,"6,180,196",0,"6,180,196","196,000","1,642,901","2,279,335",0,"10,298,432"
University for the Creative Arts,"334,017",0,"334,017",0,149,"77,159",0,"411,325"
The University of Cumbria,"197,724",0,"197,724","8,333",922,"37,595",0,"244,574"
De Montfort University,"3,179,060",0,"3,179,060","30,111","21,288","514,367",0,"3,744,826"
University of Derby,"712,499",0,"712,499","39,518","91,158","170,140",0,"1,013,315"
University of Durham,"19,499,795",0,"19,499,795","818,064","571,152","3,997,860",0,"24,886,871"
The University of East Anglia,"11,935,131",0,"11,935,131","1,230,940","192,574","3,398,711",0,"16,757,356"
University of East London,"1,949,327","233,920","2,183,247","39,930","4,638","662,115",0,"2,889,930"
Edge Hill University,"1,141,009",0,"1,141,009","21,649","4,073","240,199",0,"1,406,930"
The University of Essex,"7,003,419",0,"7,003,419","208,156","96,302","1,528,931",0,"8,836,808"
University of Exeter,"17,977,209",0,"17,977,209","1,760,437","493,313","5,186,939",0,"25,417,898"
